Type,Crew Type,Premission,Postmission,A,B
Mission,t16,18-Apr-32,20-Apr-32,False,False
Mission,t16,19-Apr-32,24-Apr-32,False,False
AD Local,t12,19-Apr-32,21-Apr-32,True,False
AD Local,t12,19-Apr-32,20-Apr-32,False,False
Local,t11,20-Apr-32,21-Apr-32,False,True
Local,t11,20-Apr-32,22-Apr-32,False,False
Local,t11,21-Apr-32,22-Apr-32,False,False
Local,t11,21-Apr-32,23-Apr-32,True,True
SOLL Local,t13,21-Apr-32,23-Apr-32,True,True
SOLL Mission,t13,22-Apr-32,26-Apr-32,False,False
AFRICOM Alert,t10,24-Apr-32,22-May-32,False,False
Mission,t10,24-Apr-32,02-May-32,False,False
Mission,t10,24-Apr-32,03-May-32,False,False
Local,t11,26-Apr-32,28-Apr-32,True,False
Local,t11,26-Apr-32,27-Apr-32,False,False
AD Local,t12,26-Apr-32,27-Apr-32,False,False
Local,t11,27-Apr-32,28-Apr-32,False,False
Local,t11,28-Apr-32,30-Apr-32,True,False
Mission,t10,29-Apr-32,06-May-32,False,False
Mission,t10,01-May-32,20-May-32,False,False
SOLL Mission,t13,01-May-32,18-May-32,False,False
AD Local,t12,02-May-32,03-May-32,False,False
Local,t11,03-May-32,04-May-32,False,False
Local,t11,03-May-32,05-May-32,True,False
Mission,t16,03-May-32,06-May-32,False,False
Local,t11,04-May-32,05-May-32,False,False
SOLL Local,t13,04-May-32,06-May-32,True,False
AD Local,t12,05-May-32,07-May-32,True,False
Mission,t10,05-May-32,11-May-32,False,False
Local,t11,05-May-32,06-May-32,False,False
J1 Alert,t14,06-May-32,14-May-32,False,False
Local,t11,06-May-32,07-May-32,False,False
Mission,t10,07-May-32,16-May-32,False,False
Mission,t16,09-May-32,16-May-32,False,False
AD Local,t12,09-May-32,10-May-32,False,False
Mission,t16,10-May-32,15-May-32,False,False
Local,t11,10-May-32,11-May-32,False,False
Local,t11,11-May-32,13-May-32,True,False
SOLL Local,t13,11-May-32,13-May-32,True,True
AD Local,t12,12-May-32,13-May-32,False,False
Local,t11,13-May-32,14-May-32,False,False
SOLL Alert,t13,13-May-32,23-May-32,False,False
Local,t11,14-May-32,15-May-32,False,False
Local,t11,15-May-32,16-May-32,False,False
Local,t11,15-May-32,16-May-32,False,False
AD Local,t12,16-May-32,17-May-32,False,False
SOLL Local,t13,16-May-32,18-May-32,True,True
Local,t11,16-May-32,17-May-32,False,False
Local,t11,16-May-32,17-May-32,False,False
AD Local,t12,16-May-32,17-May-32,False,False
Mission,t10,17-May-32,23-May-32,False,False
Local,t11,17-May-32,18-May-32,False,False
Mission,t10,17-May-32,26-May-32,False,False
Local,t11,17-May-32,18-May-32,False,True
Local,t11,17-May-32,18-May-32,False,False
Local,t11,17-May-32,18-May-32,False,False
Local,t11,17-May-32,18-May-32,False,False
AD Local,t12,17-May-32,18-May-32,False,False
Local,t11,17-May-32,18-May-32,False,False
Local,t11,18-May-32,20-May-32,True,False
AD Local,t12,18-May-32,19-May-32,False,False
Local,t11,18-May-32,19-May-32,False,False
Local,t11,19-May-32,21-May-32,True,True
SOLL Local,t13,19-May-32,21-May-32,True,True
Local,t11,19-May-32,20-May-32,False,False
Local,t11,21-May-32,22-May-32,False,False
Mission,t10,22-May-32,28-May-32,False,False
Mission,t10,22-May-32,29-May-32,False,False
SOLL Local,t13,24-May-32,26-May-32,True,True
Local,t11,24-May-32,26-May-32,True,False
Mission,t10,24-May-32,21-Jun-32,False,False
SOLL Local,t13,25-May-32,27-May-32,True,True
AD Local,t12,25-May-32,26-May-32,False,False
AD Local,t12,25-May-32,26-May-32,False,False
SOLL Local,t13,26-May-32,28-May-32,False,False
Local,t11,26-May-32,27-May-32,False,True
SOLL Alert,t13,27-May-32,06-Jun-32,False,False
J1 Alert,t14,27-May-32,04-Jun-32,False,False
SOLL Local,t13,30-May-32,01-Jun-32,True,True
AD Local,t12,30-May-32,31-May-32,False,True
SOLL Mission,t13,31-May-32,04-Jun-32,True,True
Mission,t10,31-May-32,07-Jun-32,False,False
Mission,t16,31-May-32,06-Jun-32,False,False
Local,t11,31-May-32,01-Jun-32,False,False
Local,t11,01-Jun-32,02-Jun-32,False,False
AD Local,t12,01-Jun-32,03-Jun-32,True,False
Mission,t10,02-Jun-32,07-Jun-32,False,False
